question,reference_answer,line_number_start,line_number_end,question_type,filename
"What kind of information are you collecting with telemetry, and is any of it sensitive?","We only collect data about **environment** and **service** use. Our telemetry is intentionally limited in scope. We DO NOT collect any sensitive information or data about the datasets you process. We DO NOT have access to the dataset schema, parameters, variable names, or anything related to the contents of the data or your code.",13,13,frustrated_beginner,faq/telemetry.mdx
telemetry data scope sensitive info,"We only collect data about **environment** and **service** use. Our telemetry is intentionally limited in scope. We DO NOT collect any sensitive information or data about the datasets you process. We DO NOT have access to the dataset schema, parameters, variable names, or anything related to the contents of the data or your code.",13,13,hurried_developer,faq/telemetry.mdx
"I'm trying to add my data, but I don't see an obvious place to upload it. Where do I do that?","When you run evals, choose to upload raw data or only evaluation results. It’s up to you.",17,17,frustrated_beginner,faq/why_evidently.mdx
synthetic data generation ev,"Evidently Cloud also provides advanced testing features, including synthetic data generation and adversarial testing, allowing you to easily create and run test scenarios.",30,30,hurried_developer,faq/why_evidently.mdx
"It mentions I can upload data or results, but what if I only want to upload the results of the evaluation?","When you run evals, choose to upload raw data or only evaluation results. It’s up to you.",17,17,context_assumer,faq/why_evidently.mdx
Can Evidently help with generating synthetic data for testing purposes?,"Evidently Cloud also provides advanced testing features, including synthetic data generation and adversarial testing, allowing you to easily create and run test scenarios.",30,30,direct_inquirer,faq/why_evidently.mdx
How can I evaluate the quality of LLM system outputs?,Evaluate the quality of LLM system outputs.,14,14,direct_inquirer,introduction.mdx
"How can I check if a text column contains specific words, and should it match any or all of them?",You can use the `IncludesWords()` check to see if the text includes any or all specified words. It considers only vocabulary words and returns True/False for every input. You can also specify the mode as 'any' or 'all'.,28,28,direct_inquirer,metrics/all_descriptors.mdx
I need to make sure my LLM responses don't hallucinate or make things up. What tool can I use for that?,The `FaithfulnessLLMEval()` descriptor assesses whether the response stays faithful to the given context and checks for hallucinations or unsupported claims. It returns a label (FAITHFUL or UNFAITHFUL) or a score.,89,89,frustrated_beginner,metrics/all_descriptors.mdx
check for valid JSON,Use `IsValidJSON()` to check if the column contains a valid JSON. It returns True/False for every input.,42,42,hurried_developer,metrics/all_descriptors.mdx
How can I count the number of values that fall within a specific range for a given column?,The `InRangeValueCount()` metric can be used to count the number and share of values within a specified range for a given column. It requires the column name and the left and right bounds of the range as parameters.,65,65,direct_inquirer,metrics/all_metrics.mdx
"i need to know how many values are NOT in a list i provide for a column, what do i do?","To count the number and share of values that are out of a specified list for a column, you can use the `OutListValueCount()` metric. You need to provide the column name and a list of values to check against.",68,68,frustrated_beginner,metrics/all_metrics.mdx
how do i count unique values in a column,The `UniqueValueCount()` metric can be used to count the number and share of unique values in a specified column. The result includes a dictionary with the count and share.,69,69,direct_inquirer,metrics/all_metrics.mdx
count constant columns,The `ConstantColumnsCount()` metric counts the number of columns that have identical values. This metric is at the dataset level.,100,100,hurried_developer,metrics/all_metrics.mdx
what's the metric for counting empty rows?,"The `EmptyRowsCount()` metric at the dataset level counts the number of rows that are entirely empty. If you are using a reference dataset, it fails if the share of empty rows differs by more than 10%.",101,101,direct_inquirer,metrics/all_metrics.mdx
"I'm trying to evaluate my text data, what are my options?",Evals for text and LLMs.,9,9,frustrated_beginner,metrics/all_presets.mdx
How do I set a custom drift detection threshold for categorical columns using PSI?,"You can set thresholds for each method. For example, use PSI with a threshold of 0.3 for categorical columns by passing `cat_threshold=""0.3""` to the DataDriftPreset.",45,51,direct_inquirer,metrics/customize_data_drift.mdx
I want to detect dataset drift if more than 70% of columns are drifting. How can I configure this?,You can set the share of drifting columns that signals dataset drift by passing `drift_share=0.7` to the DataDriftPreset. This will detect dataset drift if over 70% columns are drifting.,21,29,frustrated_beginner,metrics/customize_data_drift.mdx
can i use psi for all columns?,"Yes, you can specify the drift detection methods used on the column level. For example, to use PSI (Population Stability Index) for all columns in the dataset, pass `method=""psi""` to the DataDriftPreset.",31,39,hurried_developer,metrics/customize_data_drift.mdx
What's the default drift share?,Dataset drift share defines the share of drifting columns as a condition for Dataset Drift. Default: 0.5,73,73,direct_inquirer,metrics/customize_data_drift.mdx
"It says I can set custom drift methods per column, how?","For column-level metrics, you can set the drift method/threshold directly for each column using parameters like `method` and `threshold` within the `ValueDrift` metric.",57,63,context_assumer,metrics/customize_data_drift.mdx
custom drift detection function?,"If you do not find a suitable drift detection method, you can implement a custom function by writing a specific instance of the StatTest class. You need to provide a name, display name, the function itself, and the allowed feature types.",119,190,hurried_developer,metrics/customize_data_drift.mdx
how to set drift method for all numerical columns?,You can set the drift method and/or threshold for all numerical columns by using the `num_method` and `num_threshold` parameters within `DataDriftPreset`.,75,75,direct_inquirer,metrics/customize_data_drift.mdx
what is the default threshold for KS test?,The default threshold for the KS test is 0.05.,87,87,direct_inquirer,metrics/customize_data_drift.mdx
I'm trying to use the Chi-Square test for categorical data but it's not working. What are the default settings?,"The Chi-Square test is applicable to categorical data and is the default method for categorical data with more than 2 labels, if the dataset has ≤ 1000 objects. It returns a p-value, and drift is detected when the p-value is less than the default threshold of 0.05.",88,88,frustrated_beginner,metrics/customize_data_drift.mdx
what's the default method for numerical data if > 1000 objects?,The default method for numerical data if the dataset has more than 1000 objects is the Wasserstein distance.,90,90,direct_inquirer,metrics/customize_data_drift.mdx
"How does the Population Stability Index (PSI) detect drift, and what's its default threshold?","PSI returns a psi_value, and drift is detected when psi_value is greater than or equal to the threshold. The default threshold is 0.1.",92,92,direct_inquirer,metrics/customize_data_drift.mdx
What stat test is used by default for text data if there are more than 1000 objects?,"For text data when there are more than 1000 objects, the default method is 'abs_text_content_drift', which uses a domain classifier. It returns roc_auc as the drift score, and drift is detected when roc_auc is greater than the threshold.",113,113,direct_inquirer,metrics/customize_data_drift.mdx
How can I add my own statistical test for data drift?,"You can implement a custom drift detection method by creating a class that inherits from `StatTest`. This class should define the `name`, `display_name`, the actual test function `func`, and a list of `allowed_feature_types`. You then register this test using `register_stattest`.",121,190,frustrated_beginner,metrics/customize_data_drift.mdx
can i set thresholds for all text columns?,"Yes, you can set the drift detection method and threshold for all text columns using the `text_method` and `text_threshold` parameters.",77,77,hurried_developer,metrics/customize_data_drift.mdx
What are the prerequisites for setting data drift parameters?,"Before setting data drift parameters, you need to know how to use Data Definition to map column types and how to create Reports and run Tests.",9,11,direct_inquirer,metrics/customize_data_drift.mdx
I need to check drift for specific columns with a custom method and threshold. How do I do that?,"You can use the `per_column_method` and `per_column_threshold` parameters, which accept a dictionary to set the drift method and threshold for listed columns.",76,76,frustrated_beginner,metrics/customize_data_drift.mdx
"What does the ""drift_share"" parameter do?",The `drift_share` parameter defines the share of drifting columns as a condition for Dataset Drift. The default value is 0.5.,73,73,context_assumer,metrics/customize_data_drift.mdx
How do I create my own check if the one I need isn't built-in?,"To run a check not available in Evidently, you can implement it as a custom function. Use this for building your own programmatic evaluators.",1,1,frustrated_beginner,metrics/customize_descriptor.mdx
custom descriptor pairwise evaluation,"Pairwise evaluation. For example, to check exact match between `target_answer` and `answer` columns, and return a label:",82,82,hurried_developer,metrics/customize_descriptor.mdx
Can I customize existing evals or metrics?,"You can also customize existing evals with parameters, such as defining custom [LLM judges ](/metrics/customize_llm_judge) or using regex-based metrics like `Contains` for word lists. See [available descriptors](/metrics/all_descriptors).",4,5,direct_inquirer,metrics/customize_descriptor.mdx
How do I specify a custom drift detection method for embeddings?,"You can override the defaults by passing a custom `drift_method` parameter to the relevant Metric or Test. You can define the embeddings drift detection method, the threshold, or both. Pass the `drift_method` parameter.",51,53,direct_inquirer,metrics/customize_embedding_drift.mdx
Can I use different drift detection methods for different embedding sets?,"Yes, you can specify which sets of columns to include, and specify the method for each. For example: `embeddings = [‘set1’, ‘set2’]` and `embeddings_drift_method = {‘set1’: model(), ‘set2’: ratio()}`.",86,87,direct_inquirer,metrics/customize_embedding_drift.mdx
The documentation mentions a 'model' drift method. What does that mean and what are its default settings?,"The `drift_method=model` uses a binary classifier model to distinguish between embeddings in “current” and “reference” distributions. It returns ROC AUC as a `drift_score`. Drift is detected when `drift_score` is greater than the `threshold` or when `drift_score` is greater than the ROC AUC of the random classifier at a set `quantile_probability`. The default threshold is 0.55 (ROC AUC), and the default `quantile_probability` is 0.95. This method applies when bootstrap is True, which is the default if there are 1000 or fewer objects.",95,95,direct_inquirer,metrics/customize_embedding_drift.mdx
What's the default for embeddings drift detection when I have more than 1000 observations?,The default for larger data with > 1000 observations detects drift if the ROC AUC > 0.55.,14,14,direct_inquirer,metrics/customize_embedding_drift.mdx
"I'm trying to use the 'ratio' method for embeddings drift, but I can't figure out what the default threshold is for the share of drifted embedding components.","The default threshold for the 'ratio' method, which is the share of drifted embedding components, is 0.2.",96,96,frustrated_beginner,metrics/customize_embedding_drift.mdx
"Euclidean distance, cosine similarity, MMD, share of drifted embeddings - what are these?","These are different methods for detecting embeddings drift. You can specify custom thresholds and parameters such as dimensionality reduction and choose from other methods, including Euclidean distance, Cosine Similarity, Maximum Mean Discrepancy, and share of drifted embeddings. You must specify this as a parameter.",16,16,frustrated_beginner,metrics/customize_embedding_drift.mdx
embedding drift detection model parameters,"For the model-based method, you can set the `threshold` for drift detection (ROC AUC), the `bootstrap` parameter (True/False) to determine if statistical hypothesis testing is applied, the `quantile_probability` for the ROC AUC of the random classifier, and `pca_components` for dimensionality reduction.",119,124,hurried_developer,metrics/customize_embedding_drift.mdx
How does the 'ratio' method for embeddings drift work?,"The `drift_method=ratio` computes the distribution drift between individual embedding components using any of the tabular numerical drift detection methods available in Evidently. The default tabular drift detection method is Wasserstein distance with a 0.1 threshold. It returns the share of drifted embeddings as the `drift_score`, and drift is detected when this `drift_score` is greater than the specified threshold.",96,96,direct_inquirer,metrics/customize_embedding_drift.mdx
What are the available embeddings drift detection methods?,"Currently 4 embeddings drift detection methods are available: `model`, `ratio`, `distance`, and `mmd`.",91,91,direct_inquirer,metrics/customize_embedding_drift.mdx
What does 'bootstrap' do for distance-based embedding drift detection?,"The `bootstrap` parameter, when set to True, applies statistical hypothesis testing for distance-based embedding drift. It tests the distance between reference and current datasets against possible distance values within the reference dataset. This is done by randomly splitting the reference data and computing distances, creating a distribution of these values. The 95th percentile (default) of this distribution is then compared to the actual distance between reference and current datasets. Drift is detected if the actual distance is higher than this percentile.",191,191,direct_inquirer,metrics/customize_embedding_drift.mdx
How do I set PCA components for MMD embedding drift?,"For the Maximum Mean Discrepancy (MMD) method, you can specify the number of PCA components using the `pca_components` parameter. If specified, dimensionality reduction will be applied to project data to an n-dimensional space based on the number of `pca_components`. The default is None.",146,146,direct_inquirer,metrics/customize_embedding_drift.mdx
What's the default threshold for the 'model' drift detection method?,The default threshold for the 'model' drift detection method is 0.55 (ROC AUC).,95,95,direct_inquirer,metrics/customize_embedding_drift.mdx
I'm using the 'distance' method for embeddings drift. What distance metrics are available and what's the default?,"For the 'distance' method, you can use 'euclidean', 'cosine', 'cityblock' (manhattan distance), or 'chebyshev'. The default distance metric is Euclidean distance.",189,189,direct_inquirer,metrics/customize_embedding_drift.mdx
What does the 'quantile_probability' parameter do in the distance-based embedding drift method?,"The `quantile_probability` parameter, used when `bootstrap` is True, sets the percentile of the possible distance values in the reference dataset to compare against. The default value is 0.95.",192,192,direct_inquirer,metrics/customize_embedding_drift.mdx
How do I exclude columns with embeddings when using presets like DataDriftPreset?,"To exclude columns with embeddings when using presets, you can set `embeddings = []`.",73,74,direct_inquirer,metrics/customize_embedding_drift.mdx
"When using the 'ratio' method, what's the default for `component_stattest_threshold`?",The default for `component_stattest_threshold` in the 'ratio' method is 0.1. This is relevant for distance/divergence metrics where the threshold is the metric value.,166,166,direct_inquirer,metrics/customize_embedding_drift.mdx
What is the default threshold for the 'distance' method when using Euclidean distance?,The default threshold for the 'distance' method when using Euclidean distance is 0.2.,190,190,direct_inquirer,metrics/customize_embedding_drift.mdx
I'm looking at the MMD embeddings drift method. What are the default values for threshold and quantile probability?,"For the `drift_method=mmd`, the default threshold is 0.015 (MMD), and the default `quantile_probability` is 0.95. This `quantile_probability` applies when bootstrap is True.",98,98,direct_inquirer,metrics/customize_embedding_drift.mdx
Can I apply dimensionality reduction to my embeddings before drift detection?,"Yes, you can specify the number of PCA components using the `pca_components` parameter. If specified, dimensionality reduction will be applied to project data to an n-dimensional space based on the number of `pca_components`. The default is None for all methods.",124,124,direct_inquirer,metrics/customize_embedding_drift.mdx
I'm not sure how to set up the EmbeddingsDriftMetric with custom parameters. Can you show me an example?,"You can override the defaults by passing a custom `drift_method` parameter to the `EmbeddingsDriftMetric`. For example, to use the 'model' method with a custom threshold: 
```python
from evidently.metrics.data_drift.embedding_drift_methods import model
report = Report(metrics = [
    EmbeddingsDriftMetric('small_subset', 
                          drift_method = model(
                              threshold = 0.55,
                              bootstrap = None,
                              quantile_probability = 0.05,
                              pca_components = None,
                          )
                         )
])
```",59,61,frustrated_beginner,metrics/customize_embedding_drift.mdx
What's the default behavior for embedding drift detection with small data (<= 1000 observations)?,The default for small data with <= 1000 observations detects drift if the ROC AUC of the drift detection classifier > possible ROC AUC of the random classifier at a 95th percentile.,12,12,direct_inquirer,metrics/customize_embedding_drift.mdx
How can I use HuggingFace models to score my text data?,"You can score your text by downloading and using ML models from HuggingFace. This lets you apply any criteria from the source model, e.g. classify texts by emotion. There are ready-to-use descriptors that wrap a specific model, or a general interface to call other suitable models you select.",1,5,direct_inquirer,metrics/customize_hf_descriptor.mdx
"I'm trying to add toxicity detection to my data, but it's not working. What's the specific descriptor for that?","There are built-in evaluators for some models. You can call them like any other descriptor:
```python
eval_df.add_descriptors(descriptors=[
    HuggingFaceToxicity(""question"", toxic_label=""hate"", alias=""Toxicity"") 
])
```",63,69,frustrated_beginner,metrics/customize_hf_descriptor.mdx
HuggingFace toxicity descriptor,"You can call them like any other descriptor:
```python
eval_df.add_descriptors(descriptors=[
    HuggingFaceToxicity(""question"", toxic_label=""hate"", alias=""Toxicity"") 
])
```",63,69,hurried_developer,metrics/customize_hf_descriptor.mdx
It says I can add custom checks. How do I do that with HuggingFace models?,"Alternatively, use the general `HuggingFace()` descriptor to call a specific named model. The model you use must return a numerical score or a category for each text in a column.",77,77,context_assumer,metrics/customize_hf_descriptor.mdx
How to evaluate curiosity with HuggingFace?,"For example, to evaluate ""curiousity"" expressed in a text:
```python
eval_df.add_descriptors(descriptors=[
   HuggingFace(""question"",
       model=""SamLowe/roberta-base-go_emotions"", 
       params={""label"": ""curiosity""},
       alias=""Curiousity""
   )
])
```",79,89,direct_inquirer,metrics/customize_hf_descriptor.mdx
I want to classify response text by emotion. Which model and parameters should I use?,"Scores texts by 28 emotions. Returns the predicted probability for the chosen emotion label. Scale: 0 to 1. [HuggingFace Model](https://huggingface.co/SamLowe/roberta-base-go_emotions)
`HuggingFace(""response"", model=""SamLowe/roberta-base-go_emotions"", params={""label"": ""disappointment""}, alias=""disappointment"")`
**Required**:<ul><li> `params={""label"":""label""}</li></ul>**Available labels**:<ul><li>admiration</li><li>amusement</li><li>anger</li><li>annoyance</li><li>approval</li><li>caring</li><li>confusion</li><li>curiosity</li><li>desire</li><li>disappointment</li><li>disapproval</li><li>disgust</li><li>embarrassment</li><li>excitement</li><li>fear</li><li>gratitude</li><li>grief</li><li>joy</li><li>love</li><li>nervousness</li><li>optimism</li><li>pride</li><li>realization</li><li>relief</li><li>remorse</li><li>sadness</li><li>surprise</li><li>neutral</li></ul>**Optional**:<ul><li>`alias=""name""`</li></ul>",107,107,frustrated_beginner,metrics/customize_hf_descriptor.mdx
zero shot classification labels threshold,"List candidate topics as `labels`. You can provide one or several topics. You can set a classification threshold: if the predicted probability is below, an ""unknown"" label will be assigned. Returns a label. [HuggingFace Model](https://huggingface.co/MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli)
`HuggingFace(""response"", model=""MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli"", params={""labels"": [""science"", ""physics""], ""threshold"":0.5}, alias=""Topic"")`
**Required**: <ul><li>`params={""labels"": [""label""]}`</li></ul> **Optional**:<ul><li> `params={""score_threshold"": 0.7}` (default: 0.5)</li><li> `alias=""name""`</li></ul>",108,108,hurried_developer,metrics/customize_hf_descriptor.mdx
Can I use the OpenAI detector model with your library?,"GPT-2 text detection
Predicts if a text is Real or Fake (generated by a GPT-2 model). You can set a classification threshold: if the predicted probability is below, an ""unknown"" label will be assigned. Note that it is not usable as a detector for more advanced models like ChatGPT. Returns a label. [HuggingFace Model](https://huggingface.co/openai-community/roberta-base-openai-detector)
`HuggingFace(""response"", model=""openai-community/roberta-base-openai-detector"", params={""score_threshold"": 0.7}, alias=""fake"")`
**Optional**:<ul><li>`params={""score_threshold"": 0.7}` (default: 0.5)</li><li> `alias=""name""`</li></ul>",109,109,direct_inquirer,metrics/customize_hf_descriptor.mdx
What kind of models work with the HuggingFace descriptor?,"The implemented interface generally works for models that:
* Output a single number (e.g., predicted score for a label) or a label, **not** an array of values.
* Can process raw text input directly.
* Name labels using `label` or `labels` fields.
* Use methods named `predict` or `predict_proba` for scoring.",111,119,context_assumer,metrics/customize_hf_descriptor.mdx
"I found a cool HuggingFace model, but it's not working. What should I do?","However, since each model is implemented differently, we cannot provide a complete list of models with a compatible interface. We suggest testing the implementation on your own using trial and error. If you discover useful models, feel free to share them with the community in Discord. You can also open an issue on GitHub to request support for a specific model.",119,121,frustrated_beginner,metrics/customize_hf_descriptor.mdx
How can I evaluate text data using LLM descriptors?,"LLM-based descriptors use an external LLM for evaluation. You can use built-in evaluators with pre-written prompts, or configure custom criteria using templates.",1,4,direct_inquirer,metrics/customize_llm_judge.mdx
"I'm trying to see if my response is toxic, how do I do that?","To evaluate whether `response` contains any toxicity, you can use `ToxicityLLMEval`. For example: `eval_df.add_descriptors(descriptors=[ToxicityLLMEval(""response"", alias=""toxicity""),])`",74,79,frustrated_beginner,metrics/customize_llm_judge.mdx
context quality eval question param,"To evaluate Context Quality (does it have enough information to answer the question?), you must run this evaluation over your `context` column, and pass the `question` column as a parameter. Example: `eval_df.add_descriptors(descriptors=[ContextQualityLLMEval(""context"", alias=""good_context"", question=""question""),])`",92,98,hurried_developer,metrics/customize_llm_judge.mdx
How do I get just the label and exclude reasoning or score for an eval?,"You can switch the output format from `category` to `score` (0 to 1) or exclude the reasoning to get only the label. For example, to exclude reasoning use `include_reasoning=False`, and to exclude the category use `include_category=False`.",104,109,direct_inquirer,metrics/customize_llm_judge.mdx
Can I use other LLM providers besides OpenAI?,"OpenAI is the default evaluation provider in Evidently, but you can choose any other, including models from Anthropic, Gemini, Mistral, Ollama, etc. You can pass model and provider parameters to the built-in LLM-based descriptor or to your custom `LLMEval`.",120,124,direct_inquirer,metrics/customize_llm_judge.mdx
How to change the LLM model for evaluation?,"To change the model, specify a different model from OpenAI, for example: `eval_df.add_descriptors(descriptors=[DeclineLLMEval(""response"", alias=""Decline by Turbo"", provider=""openai"", model=""gpt-3.5-turbo""),])`",126,131,direct_inquirer,metrics/customize_llm_judge.mdx
"I want to use Anthropic's Claude model, what do I do?","To use a different LLM provider like Anthropic, first import the corresponding API key as an environment variable (e.g., `os.environ[""ANTHROPIC_API_KEY""] = ""YOUR KEY""`). Then pass the name of the `provider` and `model`. For example: `eval_df.add_descriptors(descriptors=[DeclineLLMEval(""response"", alias=""Decline by Claude"", provider=""anthropic"", model=""claude-3-5-sonnet-20240620""),])`",134,147,frustrated_beginner,metrics/customize_llm_judge.mdx
Where can I find a list of supported LLM providers and models?,"Evidently uses `litellm` to call different model APIs which implements 50+ providers. You can match the `provider` name and the `model` name parameters to the list given in the [LiteLLM docs](https://docs.litellm.ai/docs/providers). Make sure to verify the correct path, since implementations will vary slightly e.g. `provider=""gemini"", model=""gemini/gemini-2.0-flash-lite"".",150,151,direct_inquirer,metrics/customize_llm_judge.mdx
Can I pass API keys directly instead of using environment variables for some providers?,"For some providers, you can use Options to pass parameters like API key directly. For example, using `AnthropicOptions`: `llm_options_evals = Dataset.from_pandas(pd.DataFrame(data), data_definition=data_definition, descriptors=[NegativityLLMEval(""Answer"", provider=""anthropic"", model=""claude-3-5-sonnet-20240620""),], options=AnthropicOptions(api_key=""YOUR_KEY_HERE"", rpm_limit=50))`. You can also use Options to pass other parameters like temperature, etc.",155,168,direct_inquirer,metrics/customize_llm_judge.mdx
Where can I find more examples of using different LLM providers?,"For more details and examples, check this tutorial: [Cross-provider tutorial](https://github.com/evidentlyai/evidently/blob/main/examples/future_examples/llm_providers.ipynb)",172,174,direct_inquirer,metrics/customize_llm_judge.mdx
How do I create a custom LLM evaluator?,You can create a custom LLM evaluator using the provided templates. Choose a template (binary or multi-class classification) and specify the evaluation criteria (grading logic and names of categories). Evidently will then generate the complete evaluation prompt to send to the selected LLM together with the evaluation data.,178,183,direct_inquirer,metrics/customize_llm_judge.mdx
I need to classify text into 'concise' or 'verbose'. How can I set this up with a custom template?,"You can use `BinaryClassificationPromptTemplate` to classify text into two categories. Define the `criteria`, `target_category` ('CONCISE'), `non_target_category` ('VERBOSE'), and optionally `uncertainty` and `pre_messages`. To apply this descriptor, pass the template name to the `LLMEval` descriptor: `eval_df.add_descriptors(descriptors=[LLMEval(""response"", template=conciseness, provider = ""openai"", model = ""gpt-4o-mini"", alias=""Conciseness""),])`",191,223,frustrated_beginner,metrics/customize_llm_judge.mdx
Can I create a custom evaluator for if a question is appropriate for a student app?,"Yes, you can adapt the `BinaryClassificationPromptTemplate`. For example, to evaluate if a question is appropriate for a student tutoring app, you can define criteria like: `An APPROPRIATE question is any educational query related to academic subjects or general world knowledge... An INAPPROPRIATE question is any question that is unrelated to educational goals...`. Then apply it using `LLMEval`: `eval_df.add_descriptors(descriptors=[LLMEval(""question"", template=appropriate_scope, provider = ""openai"", model = ""gpt-4o-mini"", alias=""appropriate_q""),])`",231,260,direct_inquirer,metrics/customize_llm_judge.mdx
How to check for hallucinations using a custom template with multiple columns?,"For multi-column custom evaluation, mention the second column placeholder (e.g., `{context}`) in your `criteria`. Then, when applying `LLMEval`, use the `additional_columns` parameter to map the column name to the placeholder. Example: `LLMEval(""response"", template=hallucination, provider = ""openai"", model = ""gpt-4o-mini"", alias=""hallucination"", additional_columns={""context_column"": ""context""})` where `hallucination` is a `BinaryClassificationPromptTemplate` that includes `{context}` in its criteria.",267,311,direct_inquirer,metrics/customize_llm_judge.mdx
I need to classify responses into more than two categories. How?,"For more than two categories, use the `MulticlassClassificationPromptTemplate`. Define your categories and their definitions in the `category_criteria` dictionary. For example, to evaluate safety against a policy with 5 categories: `safety = MulticlassClassificationPromptTemplate(..., category_criteria = {""1"" : ""Fully refuses or redirects..."", ""2"" : ""Avoids fulfilling..."", ""3"": ""Engages somewhat..."", ""4"": ""Includes prohibited content..."", ""5"": ""Directly fulfills...""})`. Apply using `LLMEval`.",324,372,frustrated_beginner,metrics/customize_llm_judge.mdx
How to evaluate answer relevance to a question using multiple classes and score?,"Use `MulticlassClassificationPromptTemplate`. Define criteria including the question placeholder (e.g., `{question}`). Specify categories like 'Irrelevant', 'Partially Relevant', 'Relevant'. Set `include_score=True` to get individual scores for each label. Example: `relevance = MulticlassClassificationPromptTemplate(..., criteria = ""... Here is a question: {question}"", additional_columns={""question"": ""question""}, category_criteria = {""Irrelevant"" : ""..."", ""Partially Relevant"" : ""..."", ""Relevant"": ""...""}, include_score=True)`. Apply using `LLMEval` with `additional_columns`.",386,425,direct_inquirer,metrics/customize_llm_judge.mdx
What are the parameters for LLMEval?,"The parameters for `LLMEval` include:
- `template`: Sets a specific template for evaluation (e.g., `BinaryClassificationPromptTemplate`).
- `provider`: The provider of the LLM to be used for evaluation (Default: `openai`, or any provider supported by [LiteLLM](https://docs.litellm.ai/docs/providers)).
- `model`: Specifies the model used for evaluation (e.g., `gpt-3.5-turbo`, `gpt-4`).
- `additional_columns`: A dictionary of additional columns to include in the evaluation prompt, mapping column name to placeholder name (optional).",440,448,direct_inquirer,metrics/customize_llm_judge.mdx
What are the parameters for BinaryClassificationPromptTemplate?,"Parameters for `BinaryClassificationPromptTemplate` include:
- `criteria`: Free-form text defining evaluation criteria (required).
- `target_category`: Name of the target category (required).
- `non_target_category`: Name of the non-target category (required).
- `uncertainty`: Category for insufficient information (Default: `unknown`).
- `include_reasoning`: Whether to include LLM-generated explanation (Default: `True`).
- `pre_messages`: List of system messages for context or instructions (optional).",449,459,direct_inquirer,metrics/customize_llm_judge.mdx
MulticlassClassificationPromptTemplate parameters?,"Parameters for `MulticlassClassificationPromptTemplate` include:
- `criteria`: Free-form text defining evaluation criteria (required).
- `category_criteria`: A dictionary with categories and definitions (required).
- `uncertainty`: Category for insufficient information (Default: `unknown`).
- `include_reasoning`: Whether to include LLM-generated explanation (Default: `True`).
- `pre_messages`: List of system messages for context or instructions (optional).",460,470,hurried_developer,metrics/customize_llm_judge.mdx
What is the OpenAIPrompting descriptor?,"The `OpenAIPrompting` descriptor is an earlier implementation for LLM-based evaluation. It allows you to define a prompt with a placeholder (e.g., ""REPLACE"") that will be filled with the text to evaluate. Example: `OpenAI(""Answer"", prompt=pii_prompt, prompt_replace_string=""REPLACE"", model=""gpt-3.5-turbo-instruct"", feature_type=""num"", alias=""PII for Answer (by gpt3.5)"")`",471,512,direct_inquirer,metrics/customize_llm_judge.mdx
How do I use the 'context' parameter with OpenAIPrompting?,"You can use `context_column` to pass context specific to each row. Point to the column that contains the context (e.g., `context_column=""context""`). You cannot use `context` and `context_column` simultaneously.",537,539,direct_inquirer,metrics/customize_llm_judge.mdx
What's the difference between 'context' and 'context_column' in OpenAIPrompting?,"You cannot use `context` and `context_column` simultaneously. `context` is additional context that will be added to the evaluation prompt, which does not change between evaluations (e.g., a reference document). `context_column` is additional context specific to each row (e.g., a chunk of text retrieved from reference documents for a specific query).",534,539,direct_inquirer,metrics/customize_llm_judge.mdx
can I control the temperature with OpenAIPrompting?,"Yes, you can pass a dictionary with additional parameters for the OpenAI API call, such as temperature, max tokens, etc., using the `additional_parameters` argument. Use parameters that OpenAI API accepts for a specific model.",540,543,hurried_developer,metrics/customize_llm_judge.mdx
What are possible values for OpenAIPrompting output?,"You can specify a list of possible values that the LLM can return using the `possible_values` parameter. This helps validate the output from the LLM and ensure it matches the expected categories. If the validation does not pass, you will get `None` as a response label.",544,547,direct_inquirer,metrics/customize_llm_judge.mdx
How do I rename my descriptor in OpenAIPrompting?,You can set a display name visible in Reports and as a column name in tabular export using the `alias` parameter. Use it to name your Descriptor.,547,548,direct_inquirer,metrics/customize_llm_judge.mdx
"It says I can bring existing data, how?","To generate toy data and create a Dataset object, you can use pandas DataFrame. For example: `df = pd.DataFrame(data, columns=columns)` and then `eval_df = Dataset.from_pandas(df, data_definition=DataDefinition())`.",20,51,context_assumer,metrics/customize_llm_judge.mdx
"I'm trying to make my own evaluation, but I don't want to start from scratch. What are my options?","There are ways to customize your evals that do not require creating Metrics from scratch:

  * Add a custom text descriptor for row-level evaluations.

  * Use a built-in template to create a custom LLM-based evaluator.

  * Implement a custom data drift detection method reusing existing renders.",4,10,frustrated_beginner,metrics/customize_metric.mdx
custom metric python api,"Creating a custom Metric involves:

  * (Required). Implementing the Metric **calculation method**.

  * (Optional). Defining the **default Test conditions** that apply when you run Tests for this Metric (with or without Reference) without passing a custom condition.

  * (Optional). Creating a **custom visualization** for this Metric using Plotly. If you skip this, the Metric will appear as a simple counter in the Report.",13,19,hurried_developer,metrics/customize_metric.mdx
How do I add a custom visualization to my metric?,"Creating a custom Metric involves:

  * (Optional). Creating a **custom visualization** for this Metric using Plotly. If you skip this, the Metric will appear as a simple counter in the Report.",19,19,context_assumer,metrics/customize_metric.mdx
Can I create a custom metric that calculates the maximum value of a column and visualizes it?,"Let's implement `MyMaxMetric` which calculates the maximum value in a column.

... (implementation details follow)",29,78,direct_inquirer,metrics/customize_metric.mdx
